nasa_id,nombre,magnitud_absoluta,diametro_min_km,diametro_max_km,es_peligroso,fecha_aproximacion,velocidad_km_s,distancia_km,fecha_extraccion
3152318,(2003 GR22),22.17,0.0978486812,0.2187963027,False,2026-05-01,13.4435936191,29560376.723512115,2026-04-24T00:56:54.689575+00:00
3337999,(2006 PF1),19.57,0.3240074354,0.7245026508,False,2026-05-01,29.3371517375,38489951.165267497,2026-04-24T00:56:54.689607+00:00
3351834,(2006 UE17),21.95,0.1082816778,0.2421251924,False,2026-05-01,11.4509929104,8675494.696666148,2026-04-24T00:56:54.689613+00:00
3696402,(2014 WF6),24.41,0.0348782733,0.0779901901,False,2026-05-01,26.6555339952,41653581.007205975,2026-04-24T00:56:54.689617+00:00
3766164,(2016 YC8),24.6,0.0319561887,0.0714562102,False,2026-05-01,5.7394350416,26548756.942428452,2026-04-24T00:56:54.689622+00:00
3789382,(2017 VK13),23.39,0.0557898221,0.1247498347,False,2026-05-01,20.999860302,48353213.710212344,2026-04-24T00:56:54.689626+00:00
3789401,(2017 VE14),27.9,0.0069912523,0.0156329154,False,2026-05-01,9.6530918492,38287504.032944312,2026-04-24T00:56:54.689634+00:00
54435949,(2024 HZ),28.69,0.0048590904,0.0108652564,False,2026-05-01,16.1311631361,47115784.275903781,2026-04-24T00:56:54.689639+00:00
54489678,(2024 TV8),26.34,0.0143401923,0.0320656449,False,2026-05-01,22.6730736431,54366701.226590962,2026-04-24T00:56:54.689642+00:00
54555307,(2025 UG11),28.44,0.0054519891,0.0121910182,False,2026-05-01,6.7562599327,25407623.447601871,2026-04-24T00:56:54.689646+00:00
3455314,(2009 FP28),21.09,0.1608996045,0.3597824532,False,2026-04-30,11.1279832892,14430234.416020052,2026-04-24T00:56:54.689651+00:00
3715499,(2015 FD341),17.7,0.7665755735,1.7141150923,False,2026-04-30,33.0388268038,53103554.048456024,2026-04-24T00:56:54.689655+00:00
3829424,(2018 RO5),25.61,0.0200703514,0.0448786701,False,2026-04-30,8.018552358,36060713.782763867,2026-04-24T00:56:54.689659+00:00
3841683,(2019 JG),24.2,0.0384197891,0.0859092601,False,2026-04-30,15.7166104301,19519440.513355231,2026-04-24T00:56:54.689663+00:00
3879269,(2019 UT1),27.7,0.0076657557,0.0171411509,False,2026-04-30,20.7107019458,60813407.075453039,2026-04-24T00:56:54.689667+00:00
54087734,(2020 VR2),27.2,0.0096506147,0.0215794305,False,2026-04-30,20.0235394423,65867019.187021461,2026-04-24T00:56:54.689669+00:00
54102019,(2020 YN3),23.38,0.0560473362,0.1253256538,False,2026-04-30,6.1703475964,22733352.308730676,2026-04-24T00:56:54.689672+00:00
