nasa_id,nombre,magnitud_absoluta,diametro_min_km,diametro_max_km,es_peligroso,fecha_aproximacion,velocidad_km_s,distancia_km,fecha_extraccion
2054071,54071 (2000 GQ146),17.41,0.876102615,1.9590250023,False,2026-04-22,13.3595610244,23600402.429683103,2026-04-18T00:52:02.778172+00:00
2434196,434196 (2003 HG2),21.56,0.1295850727,0.2897610314,True,2026-04-22,10.1901270142,22877262.632270933,2026-04-18T00:52:02.778221+00:00
3249141,(2004 PJ2),21.57,0.1289896833,0.2884297004,True,2026-04-22,6.2862550694,10093294.761546895,2026-04-18T00:52:02.778233+00:00
3309832,(2005 YO128),24.6,0.0319561887,0.0714562102,False,2026-04-22,13.7131544068,66482726.037042268,2026-04-18T00:52:02.778242+00:00
3581556,(2011 TK5),22.91,0.0695913044,0.1556108872,False,2026-04-22,20.1894523647,73640984.146461842,2026-04-18T00:52:02.778250+00:00
3656929,(2014 BG25),25.3,0.0231502122,0.0517654482,False,2026-04-22,12.2649774199,36114053.352105977,2026-04-18T00:52:02.778259+00:00
3785765,(2017 TG4),24.2,0.0384197891,0.0859092601,False,2026-04-22,19.6716809842,43140040.330984478,2026-04-18T00:52:02.778266+00:00
3843842,(2019 RL3),21.64,0.1248978541,0.2792800919,False,2026-04-22,19.8405250764,30064365.305396687,2026-04-18T00:52:02.778283+00:00
54006023,(2020 DR4),29.75,0.0029823251,0.0066686815,False,2026-04-22,18.9676565228,58265408.92556548,2026-04-18T00:52:02.778290+00:00
54016576,(2020 HY),22.91,0.0695913044,0.1556108872,False,2026-04-22,13.4214372172,40070943.701865985,2026-04-18T00:52:02.778414+00:00
54049856,(2020 OA6),26.1,0.0160160338,0.0358129403,False,2026-04-22,20.367462992,47889222.392759896,2026-04-18T00:52:02.778431+00:00
54147133,(2021 KJ1),24.0,0.0421264611,0.0941976306,False,2026-04-22,15.324566604,22692751.072818001,2026-04-18T00:52:02.778440+00:00
2612786,612786 (2004 PJ2),21.46,0.135692229,0.303417048,True,2026-04-22,6.2862540782,10093329.363534226,2026-04-18T00:52:02.778447+00:00
54316690,(2022 UO),26.53,0.0131387781,0.0293792009,False,2026-04-22,17.9625458633,30501188.004080565,2026-04-18T00:52:02.778455+00:00
54494719,(2024 UJ1),26.75,0.0118728499,0.0265484994,False,2026-04-22,14.1355452615,25344819.060381453,2026-04-18T00:52:02.778462+00:00
54577095,(2026 BK2),21.05,0.1638909515,0.3664713084,True,2026-04-22,8.1299900086,3843500.370305884,2026-04-18T00:52:02.778467+00:00
54607657,(2026 GL2),25.184,0.0244205239,0.0546059515,False,2026-04-22,10.4004343988,2721628.857863911,2026-04-18T00:52:02.778474+00:00
3472700,(2009 UZ87),25.9,0.0175612318,0.0392681082,False,2026-04-23,6.3251564544,32391664.395475119,2026-04-18T00:52:02.778483+00:00
3582088,(2011 UK10),25.1,0.0253837029,0.0567596853,False,2026-04-23,6.1818421686,51372868.841687317,2026-04-18T00:52:02.778491+00:00
