id,nombre,magnitud_absoluta,diametro_min_km,diametro_max_km,es_peligroso,fecha_aproximacion,velocidad_km_s,distancia_km,fecha_extraccion
3150194,(2003 DZ15),22.41,0.0876102615,0.1959025002,False,2026-02-28,8.8979281582,64166386.382201527,2026-02-28T19:06:11.552486
3368733,(2007 DG8),25.2,0.0242412481,0.0542050786,False,2026-02-28,9.9229075251,3812215.207109376,2026-02-28T19:06:11.552504
3381230,(2007 PB8),21.36,0.1420872067,0.317716653,False,2026-02-28,22.3674739009,72776839.470461194,2026-02-28T19:06:11.552507
3799876,(2018 ES3),24.64,0.0313729225,0.0701519874,False,2026-02-28,8.7353626761,27168630.227766842,2026-02-28T19:06:11.552509
3838888,(2019 EO),23.18,0.0614546821,0.1374168468,False,2026-02-28,11.2809750662,53302519.125797302,2026-02-28T19:06:11.552512
54134547,(2021 GT),26.27,0.0148099972,0.0331161605,False,2026-02-28,9.3780699203,70397260.652110454,2026-02-28T19:06:11.552514
54245592,(2022 CB3),30.54,0.0020727884,0.0046348958,False,2026-02-28,30.1139554881,65793798.240273795,2026-02-28T19:06:11.552516
54522099,(2025 EG),24.48,0.0337718597,0.0755161741,False,2026-02-28,11.4894674035,18764131.878128463,2026-02-28T19:06:11.552518
54555306,(2025 UC11),34.037,0.0004141474,0.0009260618,False,2026-02-28,2.6379000692,14044410.94768043,2026-02-28T19:06:11.552520
54577244,(2026 BQ3),25.198,0.0242635854,0.0542550264,False,2026-02-28,8.0866594001,11239874.441629761,2026-02-28T19:06:11.552522
54602979,(2025 DY67),22.362,0.0895684331,0.200281105,False,2026-02-28,8.3979113765,25720478.939191997,2026-02-28T19:06:11.552524
54603189,(2026 DG1),26.185,0.0154012148,0.0344381631,False,2026-02-28,12.2809680831,2747342.083834612,2026-02-28T19:06:11.552526
54604366,(2026 DO11),26.152,0.0156370555,0.034965519,False,2026-02-28,12.0941355466,3623614.075724467,2026-02-28T19:06:11.552528
3182823,(2004 KG1),23.96,0.0429096504,0.0959488953,False,2026-03-07,10.7109277967,57547942.02898158,2026-02-28T19:06:11.552530
3843533,(2019 PE2),20.48,0.2130860292,0.4764748465,False,2026-03-07,25.6343351971,48258012.049229838,2026-02-28T19:06:11.552532
3874057,(2019 TK1),24.08,0.0406027058,0.0907904103,False,2026-03-07,10.6439731434,66028285.182248703,2026-02-28T19:06:11.552534
54336809,(2022 YU4),19.91,0.2770479727,0.6194981001,True,2026-03-07,9.596515627,12777984.958229767,2026-02-28T19:06:11.552536
54376899,(2023 PA1),25.33,0.0228325794,0.0510551996,False,2026-03-07,31.4360371683,57410459.417282465,2026-02-28T19:06:11.552538
54381338,(2023 RW3),26.62,0.012605352,0.0281864239,False,2026-03-07,9.8027455157,29593478.289086376,2026-02-28T19:06:11.552540
54402652,(2023 VM2),24.61,0.0318093633,0.0711278987,False,2026-03-07,6.1844829454,64858089.787930406,2026-02-28T19:06:11.552541
54545153,(2025 RB3),25.21,0.0241298697,0.0539560289,False,2026-03-07,5.9951311579,28951938.819034821,2026-02-28T19:06:11.552543
54603976,(2026 DG7),25.388,0.0222307941,0.0497095668,False,2026-03-07,16.0022849017,3597952.04214488,2026-02-28T19:06:11.552545
2244670,244670 (2003 KN18),18.21,0.6061149227,1.3553141694,False,2026-03-05,10.8391196325,14002632.197013411,2026-02-28T19:06:11.552547
2469219,469219 Kamo`oalewa (2016 HO3),24.31,0.0365220357,0.0816657545,False,2026-03-05,2.9835586472,25656230.349094386,2026-02-28T19:06:11.552549
3410533,(2008 JL24),29.6,0.0031956189,0.007145621,False,2026-03-05,2.402946741,9123043.29335286,2026-02-28T19:06:11.552550
3608622,(2012 RL15),24.3,0.0366906138,0.0820427065,False,2026-03-05,20.4337842687,55419097.962306661,2026-02-28T19:06:11.552552
3633127,(2013 FM9),23.8,0.046190746,0.1032856481,False,2026-03-05,17.0171412919,45254331.875900685,2026-02-28T19:06:11.552555
3736497,(2015 XF261),25.25,0.0236894499,0.0529712204,False,2026-03-05,7.630738661,39213681.724668297,2026-02-28T19:06:11.552556
3788026,(2017 UG5),26.3,0.0146067964,0.0326617897,False,2026-03-05,16.9164099578,50110602.450931578,2026-02-28T19:06:11.552558
54130498,(2021 EY1),26.68,0.0122618211,0.0274182656,False,2026-03-05,19.8131836323,24990249.130248621,2026-02-28T19:06:11.552560
54152389,(2021 LC),26.03,0.0165407416,0.0369862226,False,2026-03-05,12.6660420783,52934990.489612738,2026-02-28T19:06:11.552561
54207052,(2021 TV9),25.36,0.0225193047,0.050354696,False,2026-03-05,6.3968926863,52151518.619218918,2026-02-28T19:06:11.552563
54268446,(2022 GO),25.74,0.0189040552,0.0422707525,False,2026-03-05,13.877877867,17507156.28532144,2026-02-28T19:06:11.552565
54305656,(2022 SP4),24.26,0.0373727432,0.0835679943,False,2026-03-05,12.5575244253,64069090.620315187,2026-02-28T19:06:11.552572
